Data,Gerdau preferenciais,Gerdau Metalúrgica preferenciais,Vale,Usiminas,CSN,ArcelorMittal Brasil
10/6/2016,7.558893681,5.220534325,12.46477032,3.101627827,7.642924309,
10/7/2016,7.851181507,5.399213314,12.60482502,3.186604023,7.736224174,
10/10/2016,7.916131973,5.430287838,13.3401041,3.212096453,7.930603504,
10/11/2016,7.7131567,5.344834328,13.02498531,3.152613401,7.930603504,
10/13/2016,7.599486351,5.243841171,12.42975712,3.01665163,7.681801319,
10/14/2016,7.664441109,5.298221111,12.61882973,3.025149107,7.946153641,
10/17/2016,7.745632172,5.329296589,12.77288723,3.042144537,8.008355141,
10/18/2016,8.135352135,5.608968735,13.14403057,3.101627827,8.249382019,
10/19/2016,8.24090004,5.577894211,13.03899097,3.127120495,8.023903847,
10/20/2016,8.305849075,5.75657177,13.37511826,3.161111116,7.922827244,
10/21/2016,8.638733864,5.966324806,13.94233608,3.365053415,7.930603504,
10/24/2016,8.598138809,5.927483082,14.2154417,3.467024565,8.10165596,
10/25/2016,8.557541847,5.888638973,14.9507246,3.552001238,8.311584473,
10/26/2016,8.614378929,5.896408081,15.24483681,3.492517948,8.218281746,
10/27/2016,8.687449455,5.989631176,15.40589619,3.535005808,8.412659645,
10/28/2016,8.906665802,6.207154274,15.50393486,3.934393406,8.428211212,
10/31/2016,8.94726181,6.292609692,15.46191978,3.83242178,8.350459099,
11/1/2016,8.573781967,5.981863022,15.61597347,3.628479242,7.961702347,
11/3/2016,8.249019623,5.772109032,15.37788296,3.399044037,7.55739975,
11/4/2016,8.443875313,5.904176712,15.13279438,3.297072649,7.510746956,
11/7/2016,9.02033329,6.214922428,16.19720078,3.594488859,8.01612854,
11/8/2016,9.190833092,6.331451416,16.78542328,3.619982243,8.202732086,
11/9/2016,9.775410652,6.704347134,17.50670052,3.636976957,8.428211212,
11/10/2016,10.14888954,6.991788864,18.81620407,3.611484528,8.74698925,
11/11/2016,9.816005707,6.758728504,18.19296455,3.331062794,8.10165596,
11/14/2016,10.83901596,7.186003685,18.52908897,3.585991144,8.521512032,
11/16/2016,10.2300806,6.960713863,17.6117382,3.365053415,8.16385746,
11/17/2016,10.40058231,6.968482494,17.32463074,3.348058701,8.218281746,
11/18/2016,10.79842091,7.186003685,17.20558548,3.39054656,8.443759918,
11/21/2016,10.9932766,7.232615948,18.08792114,3.475522518,8.910264969,
11/22/2016,11.45675278,7.46617651,19.44644356,3.577493668,9.322345734,
11/23/2016,11.68442345,7.62967062,19.72655106,3.84941721,9.944355965,
11/24/2016,11.38357162,7.590743542,19.32039642,3.74744606,9.773301125,
11/25/2016,11.54619408,7.676382065,20.23774529,3.772938013,10.02210712,
11/28/2016,11.88770294,7.855444431,21.71531105,3.891905069,10.37198639,
11/29/2016,11.26973534,7.442821026,20.43382072,3.653972626,9.897704124,
11/30/2016,11.01767159,7.372751236,19.64952087,3.52650857,9.664451599,
12/1/2016,10.52980328,7.053552151,19.93663216,3.416039467,9.065768242,
12/2/2016,10.48914719,6.944557667,20.77223587,3.373550892,9.260146141,
12/5/2016,10.6111145,7.076909542,20.84972,3.433034182,9.205719948,
12/6/2016,10.65177059,7.037981987,21.13146973,3.407541752,9.322345734,
12/7/2016,11.1559,7.279330254,21.85698509,3.535005808,9.353447914,
12/8/2016,11.04206276,7.255972862,21.22304153,3.501014948,9.057992935,
12/9/2016,10.46475506,6.960128307,20.85676003,3.399044037,8.785865784,
12/12/2016,9.854919434,6.625357151,20.77223587,3.331062794,8.583711624,
12/13/2016,9.505282402,6.454077244,19.9551506,3.365053415,8.521512032,
12/14/2016,8.862921715,6.072594643,19.63817978,3.271579504,8.249382019,
