,Data,Cotacoes,Ref
248,2020-09-30,15.45956802368164,9-2020
249,2020-10-30,19.244821548461914,10-2020
250,2020-11-30,22.02754020690918,11-2020
251,2020-12-30,29.841651916503906,12-2020
252,2021-01-29,28.483081817626953,1-2021
253,2021-02-26,30.797330856323242,2-2021
254,2021-03-31,35.51015853881836,3-2021
255,2021-04-30,46.0882453918457,4-2021
256,2021-05-31,42.653682708740234,5-2021
257,2021-06-30,41.77061080932617,6-2021
258,2021-07-30,44.391361236572266,7-2021
259,2021-08-31,34.02408218383789,8-2021
260,2021-09-30,28.041072845458984,9-2021
261,2021-10-29,22.23375129699707,10-2021
262,2021-11-30,21.238208770751953,11-2021
263,2021-12-30,24.390756607055664,12-2021
264,2022-01-31,25.126903533935547,1-2022
265,2022-02-25,24.694021224975586,2-2022
266,2022-03-31,25.608978271484375,3-2022
267,2022-04-29,20.729202270507812,4-2022
268,2022-05-31,21.84000015258789,5-2022
269,2022-06-30,15.4399995803833,6-2022
270,2022-07-29,14.710000038146973,7-2022
