,* Puxei aqui os dados apenas para as datas com intersecção,,,,,,
,Data,Vale,Gerdau Pref,Gerdau Met Pref,CSN,Usiminas,Selic
8-2020,8/31/2020,44.58237457,15.87154675,12.82849312,14.25091076,8.892267227,0.16
9-2020,9/30/2020,46.00242996,17.29324913,13.60428333,15.45956802,8.787137985,0.16
10-2020,10/30/2020,47.12310791,18.13297081,14.4760437,19.24481964,9.549332619,0.16
11-2020,11/30/2020,60.70359802,18.89048767,14.97149658,22.02754211,11.95856857,0.15
12-2020,12/30/2020,68.05806732,20.5802784,16.46019554,29.84165192,12.79960918,0.16
1-2021,1/29/2021,68.44718933,19.57020187,16.03002167,28.48308182,11.5643301,0.15
2-2021,2/26/2021,73.56030273,21.77553177,17.23125839,30.79733086,14.22763062,0.13
3-2021,3/31/2021,79.68010712,25.55574989,19.78748512,35.51015854,14.98106289,0.2
4-2021,4/30/2021,88.66719818,28.09272003,22.5547905,46.08825302,19.78197861,0.21
5-2021,5/31/2021,93.35187531,28.16452789,22.96693039,42.65368271,17.50432396,0.27
6-2021,6/30/2021,93.92645264,25.33267784,21.0544014,41.77060699,16.83447075,0.31
7-2021,7/30/2021,90.20257568,26.35077477,21.6505127,44.39136124,18.13010597,0.36
8-2021,8/31/2021,81.84249115,24.66807556,19.74716949,34.02407837,16.2968235,0.43
9-2021,9/30/2021,69.79966736,23.94594574,19.13076782,28.04107285,15.10301208,0.44
10-2021,10/29/2021,65.56078339,23.76921844,19.14798546,22.23374939,12.41407585,0.49
11-2021,11/30/2021,64.041008,24.41068077,19.65691566,21.23820877,12.73262596,0.59
12-2021,12/30/2021,71.37437439,25.79206085,20.99291229,24.3907547,14.38332367,0.77
1-2022,1/31/2022,74.03855133,26.34082794,21.11436844,25.12690353,15.15182686,0.73
2-2022,2/25/2022,84.48469543,24.08898926,18.9935894,24.69402122,13.95637894,0.76
3-2022,3/31/2022,90.88916016,29.35424805,22.67557335,25.60897827,13.25429058,0.93
4-2022,4/29/2022,79.1857605,26.64843559,20.72468185,20.72920227,11.31000042,0.83
5-2022,5/31/2022,81.96186829,28.36507607,22.14482117,21.84000015,10.96000004,1.03
6-2022,6/30/2022,72.78738403,21.73326874,17.2516861,15.43999958,8.649999619,1.02
7-2022,7/29/2022,66.31296539,23.78504372,18.95364761,14.71000004,8.609999657,1.03
