"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2022","11.20","11.25","11.53","11.01","15.17M","-0.97%"
"04/29/2022","11.31","12.01","12.04","11.30","17.76M","-2.93%"
"04/28/2022","11.65","11.33","11.76","11.24","19.61M","4.07%"
"04/27/2022","11.20","11.38","11.55","11.18","21.14M","1.11%"
"04/26/2022","11.07","11.51","11.54","11.02","14.32M","-4.11%"
"04/25/2022","11.55","10.97","11.68","10.96","16.92M","1.93%"
"04/22/2022","11.33","11.38","11.56","11.21","13.49M","-2.69%"
"04/20/2022","11.64","12.32","12.33","11.50","49.70M","-6.34%"
"04/19/2022","12.43","12.11","12.50","11.97","17.03M","1.95%"
"04/18/2022","12.19","12.21","12.28","12.06","11.27M","-0.54%"
"04/14/2022","12.26","12.27","12.51","12.19","14.49M","-0.46%"
"04/13/2022","12.32","12.36","12.50","12.29","16.17M","-0.38%"
"04/12/2022","12.36","12.42","12.60","12.27","13.90M","0.62%"
"04/11/2022","12.29","12.28","12.45","12.11","24.42M","-0.77%"
"04/08/2022","12.38","12.80","12.83","12.35","24.30M","-3.62%"
"04/07/2022","12.85","12.67","12.92","12.60","12.64M","-0.15%"
"04/06/2022","12.87","12.95","12.96","12.58","15.73M","-1.02%"
"04/05/2022","13.00","13.32","13.42","12.93","16.10M","-2.42%"
"04/04/2022","13.32","13.11","13.47","13.05","19.19M","1.96%"
"04/01/2022","13.06","13.34","13.43","12.99","19.92M","-1.43%"
"03/31/2022","13.25","13.64","13.69","13.22","17.64M","-2.65%"
"03/30/2022","13.61","13.62","13.76","13.42","11.81M","0.77%"
"03/29/2022","13.51","13.38","13.64","13.23","21.36M","1.64%"
"03/28/2022","13.29","13.44","13.55","13.15","14.46M","0.57%"
"03/25/2022","13.22","13.73","13.79","13.18","18.35M","-3.13%"
"03/24/2022","13.64","13.61","13.73","13.38","15.68M","0.63%"
"03/23/2022","13.56","13.83","14.02","13.49","19.30M","-1.52%"
"03/22/2022","13.77","13.94","14.05","13.53","15.91M","-0.96%"
"03/21/2022","13.90","13.97","14.20","13.88","10.23M","0.34%"
"03/18/2022","13.85","13.52","13.92","13.46","19.88M","2.17%"
"03/17/2022","13.56","13.09","13.70","13.09","18.98M","4.61%"
"03/16/2022","12.96","13.15","13.27","12.73","21.96M","2.17%"
"03/15/2022","12.69","12.94","13.06","12.50","28.44M","-4.29%"
"03/14/2022","13.25","13.65","13.93","13.21","19.61M","-5.22%"
"03/11/2022","13.98","14.72","14.77","13.98","12.83M","-4.29%"
"03/10/2022","14.61","14.38","14.62","14.25","10.77M","1.25%"
"03/09/2022","14.43","14.21","14.48","13.98","15.33M","0.40%"
"03/08/2022","14.37","14.67","14.82","14.24","13.21M","-1.05%"
"03/07/2022","14.53","15.22","15.35","14.47","19.41M","-3.28%"
"03/04/2022","15.02","14.93","15.11","14.63","25.22M","-0.63%"
"03/03/2022","15.11","14.72","15.28","14.72","26.22M","3.64%"
"03/02/2022","14.58","14.71","14.79","14.21","22.95M","4.49%"
"02/25/2022","13.96","13.35","13.96","13.27","18.57M","3.23%"
"02/24/2022","13.52","12.76","13.60","12.76","17.88M","-0.07%"
"02/23/2022","13.53","14.04","14.10","13.43","17.84M","-3.12%"
"02/22/2022","13.97","13.87","14.05","13.78","13.33M","1.66%"
"02/21/2022","13.74","14.17","14.22","13.73","15.90M","-1.83%"
"02/18/2022","13.99","14.26","14.32","13.95","15.06M","-0.74%"
"02/17/2022","14.10","14.61","14.68","14.01","29.08M","-4.07%"
"02/16/2022","14.70","14.79","15.08","14.57","20.38M","-0.64%"
"02/15/2022","14.79","14.52","14.79","14.35","28.73M","-0.57%"
"02/14/2022","14.88","14.66","15.09","14.53","23.69M","0.97%"
"02/11/2022","14.73","15.90","15.95","14.71","66.20M","-7.45%"
"02/10/2022","15.92","16.22","16.66","15.83","25.22M","-1.00%"
"02/09/2022","16.08","15.74","16.20","15.65","14.78M","0.83%"
"02/08/2022","15.95","16.00","16.06","15.73","14.04M","-0.24%"
"02/07/2022","15.99","15.70","16.12","15.65","21.63M","3.25%"
